time,total
Thu Dec 15 01:46:08 EST 2016,0m7.387s
Thu Dec 15 01:58:09 EST 2016,0m7.375s
Thu Dec 15 02:04:08 EST 2016,0m7.304s
Thu Dec 15 02:12:08 EST 2016,0m7.213s
Thu Dec 15 02:27:09 EST 2016,0m7.244s
Thu Dec 15 02:34:08 EST 2016,0m7.199s
Thu Dec 15 02:46:08 EST 2016,0m7.186s
Thu Dec 15 02:58:08 EST 2016,0m7.204s
Thu Dec 15 03:04:09 EST 2016,0m7.253s
Thu Dec 15 03:12:08 EST 2016,0m7.114s
Thu Dec 15 03:27:08 EST 2016,0m7.048s
Thu Dec 15 03:34:08 EST 2016,0m7.164s
Thu Dec 15 03:46:08 EST 2016,0m7.191s
Thu Dec 15 03:58:09 EST 2016,0m7.229s
Thu Dec 15 04:04:08 EST 2016,0m7.183s
Thu Dec 15 04:12:08 EST 2016,0m7.221s
Thu Dec 15 04:27:08 EST 2016,0m7.176s
Thu Dec 15 04:34:09 EST 2016,0m7.167s
Thu Dec 15 04:46:08 EST 2016,0m7.042s
Thu Dec 15 04:58:08 EST 2016,0m7.223s
Thu Dec 15 05:04:08 EST 2016,0m7.199s
Thu Dec 15 05:12:09 EST 2016,0m7.175s
Thu Dec 15 05:27:08 EST 2016,0m6.988s
Thu Dec 15 05:34:08 EST 2016,0m7.115s
Thu Dec 15 05:46:08 EST 2016,0m6.913s
Thu Dec 15 05:58:08 EST 2016,0m7.125s
Thu Dec 15 06:04:08 EST 2016,0m7.278s
Thu Dec 15 06:12:09 EST 2016,0m7.235s
Thu Dec 15 06:27:08 EST 2016,0m7.437s
Thu Dec 15 06:34:08 EST 2016,0m7.246s
Thu Dec 15 06:46:08 EST 2016,0m7.136s
Thu Dec 15 06:58:08 EST 2016,0m7.281s
Thu Dec 15 07:04:09 EST 2016,0m7.278s
Thu Dec 15 07:12:08 EST 2016,0m7.268s
Thu Dec 15 07:27:08 EST 2016,0m7.270s
Thu Dec 15 07:34:08 EST 2016,0m7.198s
Thu Dec 15 07:46:08 EST 2016,0m7.348s
Thu Dec 15 07:58:09 EST 2016,0m7.402s
Thu Dec 15 08:04:08 EST 2016,0m7.244s
Thu Dec 15 08:12:09 EST 2016,0m7.365s
Thu Dec 15 08:27:08 EST 2016,0m7.275s
Thu Dec 15 08:34:08 EST 2016,0m7.166s
Thu Dec 15 08:46:08 EST 2016,0m7.187s
Thu Dec 15 08:58:09 EST 2016,0m7.213s
Thu Dec 15 09:04:08 EST 2016,0m7.175s
Thu Dec 15 09:12:08 EST 2016,0m7.254s
Thu Dec 15 09:27:08 EST 2016,0m7.292s
Thu Dec 15 09:34:09 EST 2016,0m7.440s
Thu Dec 15 09:46:08 EST 2016,0m7.312s
Thu Dec 15 09:58:09 EST 2016,0m7.239s
Thu Dec 15 10:04:08 EST 2016,0m7.321s
Thu Dec 15 10:12:08 EST 2016,0m7.376s
Thu Dec 15 10:27:09 EST 2016,0m7.353s
Thu Dec 15 10:34:08 EST 2016,0m7.482s
Thu Dec 15 10:46:09 EST 2016,0m7.492s
Thu Dec 15 10:58:09 EST 2016,0m7.850s
Thu Dec 15 11:04:08 EST 2016,0m7.251s
Thu Dec 15 11:12:09 EST 2016,0m7.392s
Thu Dec 15 11:27:08 EST 2016,0m7.541s
Thu Dec 15 11:34:08 EST 2016,0m7.267s
Thu Dec 15 11:46:09 EST 2016,0m7.272s
Thu Dec 15 11:58:08 EST 2016,0m7.365s
Thu Dec 15 12:04:09 EST 2016,0m7.357s
Thu Dec 15 12:12:08 EST 2016,0m7.377s
Thu Dec 15 12:27:08 EST 2016,0m7.355s
Thu Dec 15 12:34:09 EST 2016,0m7.375s
Thu Dec 15 12:46:08 EST 2016,0m7.433s
Thu Dec 15 12:58:09 EST 2016,0m7.391s
Thu Dec 15 13:04:08 EST 2016,0m7.271s
Thu Dec 15 13:12:08 EST 2016,0m7.189s
Thu Dec 15 13:27:09 EST 2016,0m7.347s
Thu Dec 15 13:34:08 EST 2016,0m7.365s
Thu Dec 15 13:46:09 EST 2016,0m7.305s
Thu Dec 15 13:58:08 EST 2016,0m7.411s
Thu Dec 15 14:04:08 EST 2016,0m7.259s
Thu Dec 15 14:12:09 EST 2016,0m7.424s
Thu Dec 15 14:27:08 EST 2016,0m7.371s
Thu Dec 15 14:34:09 EST 2016,0m7.704s
Thu Dec 15 14:46:08 EST 2016,0m7.390s
Thu Dec 15 14:58:09 EST 2016,0m7.411s
