time,total
Thu Dec 15 03:46:01 EST 2016,0m0.060s
Thu Dec 15 03:58:02 EST 2016,0m0.065s
Thu Dec 15 04:04:01 EST 2016,0m0.090s
Thu Dec 15 04:12:01 EST 2016,0m0.067s
Thu Dec 15 04:27:01 EST 2016,0m0.063s
Thu Dec 15 04:34:02 EST 2016,0m0.068s
Thu Dec 15 04:46:01 EST 2016,0m0.058s
Thu Dec 15 04:58:01 EST 2016,0m0.078s
Thu Dec 15 05:04:01 EST 2016,0m0.080s
Thu Dec 15 05:12:01 EST 2016,0m0.061s
Thu Dec 15 05:27:01 EST 2016,0m0.071s
Thu Dec 15 05:34:01 EST 2016,0m0.060s
Thu Dec 15 05:46:01 EST 2016,0m0.069s
Thu Dec 15 05:58:01 EST 2016,0m0.057s
Thu Dec 15 06:04:01 EST 2016,0m0.066s
Thu Dec 15 06:12:01 EST 2016,0m0.064s
Thu Dec 15 06:27:01 EST 2016,0m0.158s
Thu Dec 15 06:34:01 EST 2016,0m0.084s
Thu Dec 15 06:46:01 EST 2016,0m0.069s
Thu Dec 15 06:58:01 EST 2016,0m0.078s
Thu Dec 15 07:04:01 EST 2016,0m0.069s
Thu Dec 15 07:12:01 EST 2016,0m0.058s
Thu Dec 15 07:27:01 EST 2016,0m0.076s
Thu Dec 15 07:34:01 EST 2016,0m0.064s
Thu Dec 15 07:46:01 EST 2016,0m0.068s
Thu Dec 15 07:58:01 EST 2016,0m0.076s
Thu Dec 15 08:04:01 EST 2016,0m0.057s
Thu Dec 15 08:12:01 EST 2016,0m0.066s
Thu Dec 15 08:27:01 EST 2016,0m0.064s
Thu Dec 15 08:34:01 EST 2016,0m0.070s
Thu Dec 15 08:46:01 EST 2016,0m0.085s
Thu Dec 15 08:58:01 EST 2016,0m0.066s
Thu Dec 15 09:04:01 EST 2016,0m0.074s
Thu Dec 15 09:12:01 EST 2016,0m0.062s
Thu Dec 15 09:27:01 EST 2016,0m0.068s
Thu Dec 15 09:34:01 EST 2016,0m0.057s
Thu Dec 15 09:46:01 EST 2016,0m0.070s
Thu Dec 15 09:58:01 EST 2016,0m0.055s
Thu Dec 15 10:04:01 EST 2016,0m0.072s
Thu Dec 15 10:12:01 EST 2016,0m0.067s
Thu Dec 15 10:27:01 EST 2016,0m0.053s
Thu Dec 15 10:34:01 EST 2016,0m0.075s
Thu Dec 15 10:46:01 EST 2016,0m0.059s
Thu Dec 15 10:58:01 EST 2016,0m0.060s
Thu Dec 15 11:04:01 EST 2016,0m0.065s
Thu Dec 15 11:12:01 EST 2016,0m0.059s
Thu Dec 15 11:27:01 EST 2016,0m0.060s
Thu Dec 15 11:34:01 EST 2016,0m0.064s
Thu Dec 15 11:46:02 EST 2016,0m0.072s
Thu Dec 15 11:58:01 EST 2016,0m0.070s
Thu Dec 15 12:04:01 EST 2016,0m0.072s
Thu Dec 15 12:12:01 EST 2016,0m0.101s
Thu Dec 15 12:27:01 EST 2016,0m0.070s
Thu Dec 15 12:34:01 EST 2016,0m0.061s
Thu Dec 15 12:46:01 EST 2016,0m0.053s
Thu Dec 15 12:58:01 EST 2016,0m0.073s
Thu Dec 15 13:04:01 EST 2016,0m0.076s
Thu Dec 15 13:12:01 EST 2016,0m0.057s
Thu Dec 15 13:27:02 EST 2016,0m0.132s
Thu Dec 15 13:34:01 EST 2016,0m0.067s
Thu Dec 15 13:46:01 EST 2016,0m0.071s
Thu Dec 15 13:58:01 EST 2016,0m0.069s
Thu Dec 15 14:04:01 EST 2016,0m0.060s
Thu Dec 15 14:12:01 EST 2016,0m0.069s
Thu Dec 15 14:27:01 EST 2016,0m0.070s
Thu Dec 15 14:34:01 EST 2016,0m0.087s
Thu Dec 15 14:46:01 EST 2016,0m0.074s
Thu Dec 15 14:58:02 EST 2016,0m0.083s
Thu Dec 15 15:04:01 EST 2016,0m0.062s
Thu Dec 15 15:12:01 EST 2016,0m0.057s
Thu Dec 15 15:27:01 EST 2016,0m0.077s
Thu Dec 15 15:34:01 EST 2016,0m0.059s
Thu Dec 15 15:46:01 EST 2016,0m0.068s
Thu Dec 15 15:58:01 EST 2016,0m0.060s
Thu Dec 15 16:04:01 EST 2016,0m0.061s
Thu Dec 15 16:12:01 EST 2016,0m0.076s
Thu Dec 15 16:27:01 EST 2016,0m0.063s
Thu Dec 15 16:34:01 EST 2016,0m0.056s
Thu Dec 15 16:46:01 EST 2016,0m0.069s
Thu Dec 15 16:58:01 EST 2016,0m0.078s
Thu Dec 15 17:04:01 EST 2016,0m0.057s
Thu Dec 15 17:12:01 EST 2016,0m0.094s
Thu Dec 15 17:27:01 EST 2016,0m0.064s
Thu Dec 15 17:34:02 EST 2016,0m0.064s
Thu Dec 15 17:46:01 EST 2016,0m0.061s
Thu Dec 15 17:58:01 EST 2016,0m0.079s
Thu Dec 15 18:04:01 EST 2016,0m0.064s
Thu Dec 15 18:12:01 EST 2016,0m0.061s
Thu Dec 15 18:27:01 EST 2016,0m0.067s
